rank,first_name,last_name,full_name,country
91,Elisabetta,Cocciaretto,Elisabetta Cocciaretto,ITA
92,Aoi,Ito,Aoi Ito,JPN
93,Leolia,Jeanjean,Leolia Jeanjean,FRA
94,Priscilla,Hon,Priscilla Hon,AUS
95,Katie,Volynets,Katie Volynets,USA
96,Dalma,Galfi,Dalma Galfi,HUN
97,Simona,Waltert,Simona Waltert,SUI
98,Janice,Tjen,Janice Tjen,INA
99,Elena Gabriela,Ruse,Elena Gabriela Ruse,ROU
100,Sara,Bejlek,Sara Bejlek,CZE
101,Darja,Semenistaja,Darja Semenistaja,LAT
102,Kamilla,Rakhimova,Kamilla Rakhimova,RUS
103,Mayar,Sherif,Mayar Sherif,EGY
104,Ajla,Tomljanovic,Ajla Tomljanovic,AUS
105,Veronika,Erjavec,Veronika Erjavec,SLO
106,Kaja,Juvan,Kaja Juvan,SLO
107,Diane,Parry,Diane Parry,FRA
108,Yue,Yuan,Yue Yuan,CHN
109,Jil,Teichmann,Jil Teichmann,SUI
110,Victoria Jimenez,Kasintseva,Victoria Jimenez Kasintseva,AND
111,Panna,Udvardy,Panna Udvardy,HUN
112,Oksana,Selekhmeteva,Oksana Selekhmeteva,RUS
113,Elina,Avanesyan,Elina Avanesyan,ARM
114,Aliaksandra,Sasnovich,Aliaksandra Sasnovich,BLR
115,Rebeka,Masarova,Rebeka Masarova,ESP
116,Greet,Minnen,Greet Minnen,BEL
117,Julia,Grabher,Julia Grabher,AUT
118,Anca Alexia,Todoni,Anca Alexia Todoni,ROU
119,Shuai,Zhang,Shuai Zhang,CHN
120,Katarzyna,Kawa,Katarzyna Kawa,POL
